Local time,Open,High,Low,Close,Volume
11.08.2003 01:30:00.000 GMT+0430,355.795,361.776,355.169,360.905,9181536.991200002
12.08.2003 01:30:00.000 GMT+0430,361.142,361.714,357.436,357.522,10576057.003800001
13.08.2003 01:30:00.000 GMT+0430,357.995,363.598,354.950,361.649,10860960.036600003
14.08.2003 01:30:00.000 GMT+0430,361.635,366.595,359.359,365.495,10833028.8753
15.08.2003 01:30:00.000 GMT+0430,365.495,366.415,362.247,363.295,7248631.0303
16.08.2003 01:30:00.000 GMT+0430,363.295,363.295,363.295,363.295,0
17.08.2003 01:30:00.000 GMT+0430,363.295,363.295,363.295,363.295,0
18.08.2003 01:30:00.000 GMT+0430,362.350,362.994,357.135,357.682,8520634.966599997
19.08.2003 01:30:00.000 GMT+0430,357.697,362.198,355.427,361.595,9036887.0564
20.08.2003 01:30:00.000 GMT+0430,361.595,366.295,360.667,365.795,10077847.074700003
21.08.2003 01:30:00.000 GMT+0430,365.360,366.145,357.859,360.076,10390637.1389
22.08.2003 01:30:00.000 GMT+0430,360.194,363.695,357.227,362.070,9528071.0011
23.08.2003 01:30:00.000 GMT+0430,362.070,362.070,362.070,362.070,0
24.08.2003 01:30:00.000 GMT+0430,362.070,362.070,362.070,362.070,0
25.08.2003 01:30:00.000 GMT+0430,362.554,363.395,359.705,360.795,9359760.0266
26.08.2003 01:30:00.000 GMT+0430,360.618,365.498,358.387,363.627,10362361.021499999
27.08.2003 01:30:00.000 GMT+0430,363.995,373.695,362.095,371.767,10990726.0836
28.08.2003 01:30:00.000 GMT+0430,371.916,372.195,367.958,368.673,10931126.0061
29.08.2003 01:30:00.000 GMT+0430,369.195,376.698,368.153,374.886,8374369.9492
30.08.2003 01:30:00.000 GMT+0430,374.886,374.886,374.886,374.886,0
31.08.2003 01:30:00.000 GMT+0430,374.886,374.886,374.886,374.886,0
01.09.2003 01:30:00.000 GMT+0430,374.360,378.095,373.256,375.095,6186312.030100001
02.09.2003 01:30:00.000 GMT+0430,374.624,378.698,370.737,371.495,11092762.021499999
03.09.2003 01:30:00.000 GMT+0430,371.293,375.098,368.794,373.193,10627427.9653
